0,1,2
編號,手術項目,"手術
給付倍數"
1417,眼瞼腫瘤冷凍術 － 惡性,3
1418,鍉上眼瞼肌切除術,10
1419,眼瞼成形術,5
1420,眥部切開術,3
1421,眼瞼皮縫合術 （外眼部）,3
1422,Wheeler 氏手術,5
1423,瞼板腺除術,3
1424,眼瞼眼球黏連分離術,5
1425,眼球黏連分離併用粘膜移植,10
1426,霰粒腫手術,3
1427,眼瞼粘連分離術,5
1428,原發性眼瞼痙攣症之眼肌切除術,10
1429,眼瞼板之硬顎移植術,10
1430,HUGHES 皮瓣,10
1431,苗勒氏肌切除及提瞼肌放鬆,10
1432,下眼瞼攣縮併角膜暴露矯正術,10
1433,結膜縫合 Suture of conjunctiva一次,3
1434,結膜切片,3
1435,結膜病灶切除－ 小於3mm,3
1436,結膜病灶切除－ 大於3mm,3
1437,結膜病灶切除惡性，併粘膜移植,5
1438,結膜成形術－ 有移植,5
1439,結膜成形術－ 無移植,5
1440,結膜瓣形成術,3
1441,結膜良性腫瘤冷凍術,3
1442,結膜惡性腫瘤冷凍術,3
1443,翼狀贅肉切除術 － 初發,3
1444,翼狀贅肉切除術 － 復發,5
1445,結膜囊部份成形術,3
1446,結膜囊全部成形術,5
1447,皮膚及結膜成形術,5
1448,穿透傷或二次性傷口縫合結膜移植,5
1449,結膜縫線拆除術(顯微鏡下),3
1450,外眼組織切片,3
1451,淚腺膿瘍引流,3
1452,淚腺切除術,5
1453,淚囊切除術,5
1454,淚腺或淚囊腫瘤切除術,10
1455,淚囊鼻腔造孔術,10
1456,結膜淚囊鼻腔造孔術,10
1457,淚管切開術,3
1458,淚管瘻管切除術,5
1459,淚小管成形術,5
1460,淚小管縫補,3
1461,淚器基本性修復,5
